Name,CreekID,Total_m,WBID,CLASS,WBIDLen_m
Beever Creek,HC28,3920.956865,1712,3M,3920.956865
,HC29,7776.764435,1719,3F,7776.764435
,HC30,6929.465277,1725,3M,6929.465277
,HC31,2719.730105,1725,3M,2464.572883
,HC31,2719.730105,1736,3F,255.1572222
Wolf Branch,HC32,9964.086447,1725,3M,4433.709808
Wolf Branch,HC32,9964.086447,1736,3F,5418.8178
Wolf Branch,HC32,9964.086447,1558C,2,111.5588389
Marsh Branch,HC33,8932.206728,1747B,3F,2909.375379
Marsh Branch,HC33,8932.206728,1742A1,3F,114.5842182
Marsh Branch,HC33,8932.206728,1747A,3M,5908.247131
Curiosity Creek,HC34,7105.035261,1798,3F,849.1064666
Curiosity Creek,HC34,7105.035261,1792,3F,4105.229906
Curiosity Creek,HC34,7105.035261,1742C1,3M,2150.698888
,HC35,2790.336685,1780,3M,2790.336685
Wildcat Creek,HC36,4597.014656,1779,3M,13.13074566
Wildcat Creek,HC36,4597.014656,1780,3M,4583.883911
Sun City Slough,HC37,4946.680159,1771,3M,4898.977147
Sun City Slough,HC37,4946.680159,1742C1,3M,47.70301189
Cockroach Creek,HC38,7384.436153,1789,3M,2565.03042
Cockroach Creek,HC38,7384.436153,1788,3F,2556.51004
Cockroach Creek,HC38,7384.436153,1778,2,2262.895693
Piney Point Creek,HC39,17740.8983,1789,3M,9854.867405
Piney Point Creek,HC39,17740.8983,1792,3F,5839.236231
Piney Point Creek,HC39,17740.8983,1816,3F,1316.899239
Piney Point Creek,HC39,17740.8983,1797B,2,729.8954254
Coon Hammock Creek,HC40,2419.870676,1609,3M,2419.870676
,HC41,1822.096559,1621G,3M,1822.096559
Boat Bayou,HC42,1751.942106,1566,2,1751.942106
Gun Branch,HC44,765.6897642,1609,3M,765.6897642
John Branch,HC45,1127.321418,1609,3M,929.4584493
John Branch,HC45,1127.321418,1558G,2,197.862969
Multicolor Creek,HC46,914.3775368,1584A1,3M,914.3775368
Gibsonton Creek,HC48,2573.70288,1664,3M,2573.70288
Dug Creek,HC49,2200.443795,1676A,3M,2199.249729
Dug Creek,HC49,2200.443795,1558D,3M,1.194066455
Kitchen Branch,HC50,1016.814935,1682,3M,1016.320395
Kitchen Branch,HC50,1016.814935,1558D,3M,0.494540428
Sims Branch,HC51,1649.363729,1691,3M,1649.363729
Andrews Creek,HC52,1041.569451,1778,2,1041.569451
,HC53,1506.079451,1682,3M,1506.079451
Broad Creek,HC54,2211.083265,1609,3M,2211.083265
,LC01,3518.341973,2082B,3F,316.4623836
,LC01,3518.341973,2093A,3F,1356.779493
,LC01,3518.341973,2065D,2,52.77465029
,LC01,3518.341973,2082B1,3M,1792.325446
Yucca Pen Creek,LC02,6989.08152,2082B,3F,5076.446378
Yucca Pen Creek,LC02,6989.08152,2082B2,3M,1912.635142
Durden Creek,LC03,9039.896373,2082C,3F,2331.537949
Durden Creek,LC03,9039.896373,2082C1,3M,3498.997175
Durden Creek,LC03,9039.896373,2065D,2,1.585443234
Durden Creek,LC03,9039.896373,2082C2,2,3207.775805
,LC04,1565.183637,2082C1,3M,743.1081921
,LC04,1565.183637,2065D,2,822.0754444
Gator Slough,LC05,1938.801604,2065F,2,771.4023919
Gator Slough,LC05,1938.801604,2082C1,3M,1167.399212
,LC06,948.5920771,2065F,2,865.9012402
,LC06,948.5920771,2082C1,3M,82.6908369
,LC07,1143.503983,2065F,2,1143.503983
,LC08,2164.934605,2082C1,3M,2164.934605
,LC09,1570.971625,3240S,3M,357.0442222
,LC09,1570.971625,2065F,2,1213.927403
,LC10,723.3286892,2065F,2,723.3286892
,LC11,1105.060148,3240S,3M,18.00429156
,LC11,1105.060148,2065F,2,1087.055856
,LC13,880.3020232,3240A1,3M,742.2714
,LC13,880.3020232,3240A,3M,138.0306232
,LC17,3723.559691,3240A1,3M,3335.986255
,LC17,3723.559691,3240A,3M,387.5734358
,LC19,2945.387643,3240A1,3M,2889.723622
,LC19,2945.387643,3240A,3M,55.66402098
Hancock Creek/Yellow Fever Creek,LC20,17597.55124,3.24E+04,3M,10748.92011
Hancock Creek/Yellow Fever Creek,LC20,17597.55124,3240E,3F,6848.631131
Powell Creek,LC21,12186.92013,3240A3,3F,1092.430006
Powell Creek,LC21,12186.92013,3240B,3M,18.35710442
Powell Creek,LC21,12186.92013,3240L,3F,8851.458957
Powell Creek,LC21,12186.92013,2082C,3F,532.9896689
Powell Creek,LC21,12186.92013,3240E,3F,1691.684397
,LC22,7668.585323,3240B,3M,7668.585323
Daughtrey Creek,LC23,7057.025276,3240F,3F,6380.163705
Daughtrey Creek,LC23,7057.025276,3240B2,3M,676.8615706
,LC24,4071.943403,3240F,3F,64.37823047
,LC24,4071.943403,3240B1,3F,2463.541362
,LC24,4071.943403,3240B2,3M,1544.02381
,LC25,3184.171936,3240B1,3F,2190.148688
,LC25,3184.171936,3240B2,3M,994.0232481
Popash Creek,LC26,2920.488335,3240Q,3F,2920.488335
Stroud Creek,LC27,4971.190306,3240Q,3F,1462.935041
Stroud Creek,LC27,4971.190306,3240C,3M,13.98212881
Stroud Creek,LC27,4971.190306,3240M,3F,3494.273136
Palm Creek,LC28,2356.375473,3240C1,3F,1716.687187
Palm Creek,LC28,2356.375473,3240C,3M,639.6882859
Owl Creek,LC29,2564.259529,3240G,3F,34.10200143
Owl Creek,LC29,2564.259529,3240N,3F,2530.157528
Trout Creek,LC30,10830.25195,3240G,3F,10073.36404
Trout Creek,LC30,10830.25195,3240C,3M,756.8879135
Telegraph Creek,LC31,3313.1262,3236A,3F,3313.1262
Orange River,LC33,8573.309691,3240K,3F,8145.891858
Orange River,LC33,8573.309691,3240C,3M,427.4178338
Billy Creek,LC35,8639.223456,3240B,3M,46.81419961
Billy Creek,LC35,8639.223456,3240J1,3M,3166.751166
Billy Creek,LC35,8639.223456,3240J2,3F,3878.135885
Billy Creek,LC35,8639.223456,3240J4,3F,28.10371541
Billy Creek,LC35,8639.223456,3240J3,3F,1519.418491
Manuel Branch,LC36,1399.157164,3240A,3M,71.06929815
Manuel Branch,LC36,1399.157164,3240V,3F,1328.087866
Whiskey Creek,LC39,2464.185245,3240H,3F,2464.185245
,LC40,7342.918559,3240A4,3M,5588.04491
,LC40,7342.918559,3240A,3M,1754.873649
,LC43,838.5310727,3240A4,3M,838.5310727
,LC44,2672.212168,3240O,2,2672.212168
Cow Creek,LC45,2099.163926,3258A1,2,2099.163926
Estero River/Halfway Creek,LC48,12932.79754,3258D1,3M,9093.952606
Estero River/Halfway Creek,LC48,12932.79754,3258D3,3F,2793.361281
Estero River/Halfway Creek,LC48,12932.79754,3258I,3M,30.73107442
Estero River/Halfway Creek,LC48,12932.79754,3258D4,3F,1014.752578
,LC49,614.2018712,3258H2,3M,614.2018712
Spring Creek,LC50,5124.316841,3258H3,3F,1913.500307
Spring Creek,LC50,5124.316841,3258H2,3M,3210.816534
Imperial River/Oak Creek,LC51,14112.49973,3258F,3F,2354.523841
Imperial River/Oak Creek,LC51,14112.49973,3258EB,3M,8331.26732
Imperial River/Oak Creek,LC51,14112.49973,3258EC,3F,1667.747183
Imperial River/Oak Creek,LC51,14112.49973,3258EG,3F,1.789813022
Imperial River/Oak Creek,LC51,14112.49973,3258ED,3F,1757.17157
,LC53,1801.864135,3240S,3M,510.2245
,LC53,1801.864135,2065F,2,1291.639635
,LC54,1493.019575,2065F,2,1493.019575
Underhill Creek,LC55,1293.69548,2065F,2,1293.69548
,LC56,2652.562127,2065F,2,2652.562127
,LC57,1208.469084,2065F,2,1085.980385
,LC57,1208.469084,2065H1,2,122.488699
,LC58,928.9744541,2065H1,2,928.9744541
Mud Creek,LC59,3049.441981,3258C4,3M,3049.244476
Mud Creek,LC59,3049.441981,3258I,3M,0.197504716
,LC60,1970.522311,3258C4,3M,1970.522311
Clark Creek,MC01,11123.67779,1792,3F,2009.525124
Clark Creek,MC01,11123.67779,1816,3F,649.7137901
Clark Creek,MC01,11123.67779,1797B,2,8464.438876
Frog Creek,MC02,23788.09597,1825A,3M,4653.439778
Frog Creek,MC02,23788.09597,1823,3F,581.8473432
Frog Creek,MC02,23788.09597,1816,3F,3997.910323
Frog Creek,MC02,23788.09597,1797B,2,2072.483701
Frog Creek,MC02,23788.09597,1825B,3F,12212.32892
Frog Creek,MC02,23788.09597,1797A,2,270.085899
